pos;name;pais;num;edad
Portero;Rome-Jayden Owusu-Oduro;Países Bajos;1;02/07/2004
Portero;Jeroen Zoet;Países Bajos;41;06/01/1991
Portero;Hobie Verhulst;Países Bajos;12;02/04/1993
Portero;Daniël Deen;Países Bajos;31;13/02/2003
Defensa central;Wouter Goes;Países Bajos;3;10/06/2004
Defensa central;Alexandre Penetra;Portugal;5;09/09/2001
Defensa central;Rion Ichihara;Japón;18;07/07/2005
Defensa central;Maxim Dekker;Países Bajos;4;21/04/2004
Defensa central;Billy van Duijl;Países Bajos;23;04/10/2005
Lateral izquierdo;Mateo Chávez;México;15;12/05/2004
Lateral izquierdo;Mees de Wit;Países Bajos;34;17/04/1998
Lateral derecho;Denso Kasius;Países Bajos;30;06/10/2002
Lateral derecho;Seiya Maikuma;Japón;2;16/10/1997
Lateral derecho;Elijah Dijkstra;Países Bajos;22;05/08/2006
Pivote;Peer Koopmeiners;Países Bajos;6;04/05/2000
Pivote;Jordy Clasie  ;Países Bajos;8;27/06/1991
Pivote;Kasper Boogaard;Países Bajos;20;29/01/2006
Mediocentro;Kees Smit;Países Bajos;26;20/01/2006
Mediocentro ofensivo;Sven Mijnans;Países Bajos;10;09/03/2000
Mediocentro ofensivo;Matej Sin;República Checa;33;02/06/2004
Extremo izquierdo;Isak Jensen;Dinamarca;17;23/12/2003
Extremo izquierdo;Ro-Zangelo Daal;Países Bajos;27;10/02/2004
Extremo izquierdo;Wassim Bouziane;Países Bajos;75;22/12/2006
Extremo derecho;Weslley Patati;Brasil;7;01/10/2003
Extremo derecho;Ibrahim Sadiq;Ghana;11;07/05/2000
Extremo derecho;Ayoub Oufkir;Países Bajos;24;04/01/2006
Delantero centro;Troy Parrott;Irlanda;9;04/02/2002
Delantero centro;Mexx Meerdink;Países Bajos;35;24/07/2003
Delantero centro;Jizz Hornkamp;Países Bajos;19;07/03/1998
