pos;name;pais;num;edad
Portero;Mateusz Kochalski;Polonia;99;25/07/2000
Portero;Shahrudin Mahammadaliyev;Azerbaiyán;1;12/06/1994
Portero;Fabijan Buntic;Croacia;97;24/02/1997
Portero;Amin Ramazanov;Azerbaiyán;89;20/01/2003
Defensa central;Bahlul Mustafazada;Azerbaiyán;13;27/02/1997
Defensa central;Samy Mmaee;Marruecos;3;08/09/1996
Defensa central;Kevin Medina;Colombia;81;09/03/1993
Defensa central;Badavi Hüseynov;Azerbaiyán;55;11/07/1991
Lateral izquierdo;Toral Bayramov;Azerbaiyán;27;23/02/2001
Lateral izquierdo;Elvin Cafarquliyev;Azerbaiyán;44;26/10/2000
Lateral izquierdo;Jérémie Gnali;Francia;24;12/04/2002
Lateral derecho;Matheus Silva;Brasil;2;03/10/1997
Lateral derecho;Dani Bolt;Brasil;18;18/06/1999
Lateral derecho;Abbas Hüseynov;Azerbaiyán;30;13/06/1995
Pivote;Pedro Bicalho;Brasil;35;23/04/2001
Mediocentro;Marko Jankovic;Montenegro;8;09/07/1995
Mediocentro;Chriso;Costa de Marfil;6;15/12/1999
Mediocentro ofensivo;Kady Borges;Brasil;20;02/05/1996
Mediocentro ofensivo;Joni Montiel;España;9;03/09/1998
Mediocentro ofensivo;Hikmat Cabrayilzada;Azerbaiyán;32;02/08/2007
Extremo izquierdo;Emmanuel Addai;Ghana;11;01/08/2001
Extremo izquierdo;Abdellah Zoubir ;Francia;10;05/12/1991
Extremo derecho;Leandro Andrade;Cabo Verde;15;24/09/1999
Extremo derecho;Oleksiy Kashchuk;Ucrania;21;29/06/2000
Delantero centro;Camilo Durán;Colombia;17;10/02/2002
Delantero centro;Musa Qurbanly;Azerbaiyán;22;13/04/2002
Delantero centro;Ramil Sheydayev;Azerbaiyán;77;15/03/1996
