pos;name;pais;num;edad
Portero;Alexander Schlager;Austria;1;01/02/1996
Portero;Christian Zawieschitzky;Austria;52;02/05/2007
Portero;Salko Hamzic;Austria;92;17/09/2006
Defensa central;Joane Gadou;Francia;23;17/01/2007
Defensa central;Jannik Schuster;Austria;44;16/05/2006
Defensa central;Tim Drexler ;Alemania;21;06/03/2005
Defensa central;John Mellberg ;Suecia;4;30/07/2006
Defensa central;Anrie Chase;Japón;91;24/03/2004
Lateral izquierdo;Aleksa Terzic;Serbia;3;17/08/1999
Lateral izquierdo;Frans Krätzig;Alemania;13;14/01/2003
Lateral derecho;Tim Trummer;Austria;37;10/11/2005
Lateral derecho;Stefan Lainer ;Austria;22;27/08/1992
Pivote;Soumaïla Diabaté;Malí;5;22/11/2004
Pivote;Mamady Diambou;Malí;15;11/11/2002
Pivote;Takumu Kawamura ;Japón;16;28/08/1999
Mediocentro;Mads Bidstrup ;Dinamarca;18;25/02/2001
Mediocentro;Maurits Kjaergaard;Dinamarca;14;26/06/2003
Mediocentro;Valentin Sulzbacher;Austria;38;11/03/2005
Mediocentro;Oliver Lukic;Croacia;25;22/09/2006
Mediocentro;Justin Omoregie ;Austria;36;21/09/2003
Interior derecho;Sota Kitano ;Japón;8;13/08/2004
Extremo izquierdo;Kerim Alajbegovic;Bosnia y Herzegovina;27;21/09/2007
Extremo izquierdo;Clement Bischoff;Dinamarca;7;16/12/2005
Extremo derecho;Moussa Yeo;Malí;49;01/06/2004
Extremo derecho;Damir Redzic;Hungría;24;23/03/2003
Delantero centro;Karim Konaté;Costa de Marfil;19;21/03/2004
Delantero centro;Yorbe Vertessen ;Bélgica;11;08/01/2001
Delantero centro;Edmund Baidoo;Ghana;20;30/01/2006
Delantero centro;Enrique Aguilar;Suiza;43;27/01/2007
Delantero centro;Karim Onisiwo;Austria;9;17/03/1992
