pos;name;pais;num;edad
Portero;Mark Spenkelink;Países Bajos;16;27/01/1997
Portero;Tom Bramel;Países Bajos;26;24/07/2005
Portero;Yanick van Osch ;Países Bajos;1;24/03/1997
Portero;Luuk Vogels;Países Bajos;31;06/07/2003
Portero;Xander Mulder;Países Bajos;13;25/01/2005
Defensa central;Liam van Gelderen;Surinam;4;23/03/2001
Defensa central;Roshon van Eijma;Curazao;3;09/06/1998
Defensa central;Luuk Wouters;Países Bajos;15;08/06/1999
Defensa central;Loek Postma;Países Bajos;35;05/03/2003
Lateral izquierdo;Juan Familia-Castillo;República Dominicana;5;13/01/2000
Lateral izquierdo;Nazjir Held;Curazao;55;09/02/2005
Lateral derecho;Faissal Al Mazyani;Marruecos;33;18/01/2005
Lateral derecho;Navajo Bakboord;Surinam;19;29/01/1999
Lateral derecho;Bjarn Zorgdrager ;Países Bajos;2;13/04/2004
Pivote;Daniël van Kaam;Países Bajos;8;23/06/2000
Pivote;Godfried Roemeratoe;Curazao;6;19/08/1999
Pivote;Marcel Schaapman;Países Bajos;21;29/05/2002
Mediocentro;Tim van de Loo ;Países Bajos;22;22/02/2003
Mediocentro;Harrie Kuster;Países Bajos;20;11/09/2005
Mediocentro ofensivo;Jean-Paul Boëtius;Surinam;14;22/03/1994
Mediocentro ofensivo;Ryan Fage;Francia;12;31/10/2003
Mediocentro ofensivo;Rein van Hedel;Países Bajos;18;06/11/2004
Mediocentro ofensivo;Richard van der Venne ;Países Bajos;23;16/05/1992
Mediocentro ofensivo;Melle Witteveen;Países Bajos;25;24/06/2003
Extremo izquierdo;Yoram van der Veen;Países Bajos;30;30/06/2005
Extremo derecho;Denilho Cleonise;Países Bajos;7;08/12/2001
Extremo derecho;Roy Kuijpers ;Países Bajos;17;17/01/2000
Delantero centro;Jesper Uneken;Países Bajos;9;09/08/2004
Delantero centro;Tim van der Leij;Países Bajos;11;06/03/2006
Delantero centro;Michiel Kramer ;Países Bajos;29;03/12/1988
Delantero centro;Quentin van Beekveld;Países Bajos;28;12/10/2005
