pos;name;pais;num;edad
Portero;Dmytro Riznyk;Ucrania;31;30/01/1999
Portero;Kiril Fesyun;Ucrania;23;07/08/2002
Portero;Denys Tvardovskyi;Ucrania;48;13/06/2003
Defensa central;Mykola Matvienko ;Ucrania;22;02/05/1996
Defensa central;Valeriy Bondar;Ucrania;5;27/02/1999
Defensa central;Marlon;Brasil;4;07/09/1995
Defensa central;Alaa Ghram;Túnez;18;24/07/2001
Defensa central;Diego Arroyo;Bolivia;3;29/04/2005
Defensa central;Danylo Udod;Ucrania;46;09/03/2004
Defensa central;Roman Savchenko;Ucrania;-;17/02/2004
Lateral izquierdo;Pedro Henrique;Brasil;13;11/07/2002
Lateral izquierdo;Irakli Azarovi;Georgia;16;21/02/2002
Lateral izquierdo;Viktor Korniyenko;Ucrania;99;14/02/1999
Lateral derecho;Vinícius Tobias;Brasil;17;23/02/2004
Lateral derecho;Yukhym Konoplya;Ucrania;26;26/08/1999
Mediocentro;Marlon Gomes;Brasil;6;14/12/2003
Mediocentro;Dmytro Kryskiv;Ucrania;8;06/10/2000
Mediocentro;Yegor Nazaryna;Ucrania;29;10/07/1997
Mediocentro;Viktor Tsukanov;Ucrania;24;04/02/2006
Mediocentro;Kyrylo Sigeev;Ucrania;-;16/05/2004
Mediocentro ofensivo;Artem Bondarenko;Ucrania;21;21/08/2000
Mediocentro ofensivo;Isaque;Brasil;14;24/02/2007
Mediocentro ofensivo;Oleg Ocheretko;Ucrania;27;25/05/2003
Extremo izquierdo;Newerton;Brasil;11;03/06/2005
Extremo izquierdo;Eguinaldo;Brasil;7;09/08/2004
Extremo izquierdo;Ivan Petryak;Ucrania;34;13/03/1994
Extremo derecho;Alisson;Brasil;30;21/09/2005
Extremo derecho;Pedrinho;Brasil;10;13/04/1998
Extremo derecho;Lucas Ferreira;Brasil;37;28/04/2006
Extremo derecho;Prosper Obah;Nigeria;68;24/11/2003
Extremo derecho;Maryan Shved;Ucrania;9;16/07/1997
Delantero centro;Kauã Elias;Brasil;19;28/03/2006
Delantero centro;Luca Meirelles;Brasil;49;15/03/2007
Delantero centro;Lassina Traoré;Burkina Faso;2;12/01/2001
