pos;name;pais;num;edad
Portero;Niklas Hedl;Austria;1;17/03/2001
Portero;Paul Gartler;Austria;25;10/03/1997
Portero;Laurenz Orgler;Austria;50;13/10/2004
Portero;Benjamin Göschl;Austria;51;16/11/2005
Defensa central;Serge-Philippe Raux-Yao;Francia;6;30/05/1999
Defensa central;Ange Ahoussou;Costa de Marfil;20;22/12/2003
Defensa central;Nenad Cvetkovic;Serbia;55;06/01/1996
Defensa central;Jean Marcelin ;Madagascar;24;12/02/2000
Defensa central;Jakob Schöller;Austria;4;09/12/2005
Defensa central;Amin-Elias Gröller;Túnez;47;25/01/2005
Lateral izquierdo;Jannes Horn;Alemania;38;06/02/1997
Lateral izquierdo;Jonas Auer;Austria;23;05/08/2000
Lateral derecho;Bendegúz Bolla;Hungría;77;22/11/1999
Lateral derecho;Furkan Demir;Turquía;61;29/11/2004
Pivote;Martin Ndzie ;Camerún;14;16/01/2003
Pivote;Lukas Grgic;Austria;8;17/08/1995
Pivote;Tobias Børkeeiet;Noruega;16;18/04/1999
Mediocentro;Romeo Amane;Costa de Marfil;29;20/02/2003
Interior derecho;Louis Schaub ;Austria;21;29/12/1994
Mediocentro ofensivo;Tobias Gulliksen;Noruega;17;09/07/2003
Mediocentro ofensivo;Matthias Seidl ;Austria;18;24/01/2001
Mediocentro ofensivo;Andreas Weimann;Austria;26;05/08/1991
Extremo izquierdo;Petter Nosa Dahl;Noruega;10;22/10/2003
Extremo izquierdo;Dominik Weixelbraun ;Austria;41;17/12/2003
Extremo derecho;Nikolaus Wurmbrand;Austria;15;05/01/2006
Extremo derecho;Yusuf Demir;Austria;22;02/06/2003
Extremo derecho;Marco Tilio;Australia;7;23/08/2001
Extremo derecho;Daniel Nunoo;Ghana;54;20/08/2006
Delantero centro;Claudy Mbuyi ;Francia;71;03/06/1999
Delantero centro;Janis Antiste;Francia;90;18/08/2002
Delantero centro;Ercan Kara;Austria;9;03/01/1996
