pos;name;pais;num;edad
Portero;Jindrich Stanek ;República Checa;36;27/04/1996
Portero;Jakub Markovic;República Checa;35;13/07/2001
Portero;Ondrej Kolar;República Checa;1;17/10/1994
Defensa central;Igoh Ogbu;Nigeria;5;08/02/2000
Defensa central;David Zima;República Checa;4;08/11/2000
Defensa central;Stepan Chaloupek;República Checa;2;08/03/2003
Defensa central;Tomas Vlcek;República Checa;27;28/02/2001
Defensa central;Tomas Holes;República Checa;3;31/03/1993
Defensa central;Jan Boril ;República Checa;18;11/01/1991
Lateral izquierdo;David Jurásek;República Checa;39;07/08/2000
Lateral izquierdo;Youssoupha Mbodji;Senegal;12;09/01/2004
Lateral izquierdo;Dominik Javorcek ;Eslovaquia;37;02/11/2002
Lateral derecho;Samuel Isife;Nigeria;14;13/07/2004
Mediocentro;David Moses ;Nigeria;16;20/01/2004
Mediocentro;Oscar;Liberia;19;19/07/1998
Mediocentro;Michal Sadílek;República Checa;23;31/05/1999
Mediocentro;Alexandr Buzek ;República Checa;20;02/08/2004
Mediocentro;Petr Sevcik ;República Checa;-;04/05/1994
Mediocentro;Mubarak Suleiman;Nigeria;45;13/04/2007
Interior derecho;David Doudera ;República Checa;21;31/05/1998
Interior derecho;Simion Michez;Camerún;41;09/02/2002
Mediocentro ofensivo;Lukas Provod ;República Checa;17;23/10/1996
Mediocentro ofensivo;Muhammed Cham;Austria;10;26/09/2000
Extremo izquierdo;Vasil Kusej;República Checa;9;24/05/2000
Extremo izquierdo;Youssoupha Sanyang;Gambia;11;31/08/2005
Extremo derecho;Ivan Schranz;Eslovaquia;26;13/09/1993
Delantero centro;Mojmír Chytil;República Checa;13;29/04/1999
Delantero centro;Tomas Chory;República Checa;25;26/01/1995
Delantero centro;Erik Prekop;Eslovaquia;31;08/10/1997
