pos;name;pais;num;edad
Portero;Daniil Khudyakov ;Rusia;53;09/01/2004
Portero;Matteo Bignetti;Austria;40;06/05/2004
Portero;Elias Lorenz;Austria;41;27/03/2006
Defensa central;Dimitri Lavalée ;Bélgica;24;13/01/1997
Defensa central;Jeyland Mitchell;Costa Rica;2;29/09/2004
Defensa central;Niklas Geyrhofer;Austria;35;11/02/2000
Defensa central;Emanuel Aiwu;Austria;47;25/12/2000
Defensa central;Paul Koller;Austria;30;22/02/2002
Defensa central;Albert Vallci;Austria;5;02/07/1995
Lateral izquierdo;Emir Karic;Bosnia y Herzegovina;17;09/06/1997
Lateral derecho;Jusuf Gazibegovic ;Bosnia y Herzegovina;22;11/03/2000
Lateral derecho;Arjan Malic;Bosnia y Herzegovina;23;28/08/2005
Pivote;Jon Gorenc Stankovic;Eslovenia;4;14/01/1996
Pivote;Ryan Fosso;Suiza;80;17/06/2002
Mediocentro;Luca Weinhandl;Austria;39;11/01/2009
Interior derecho;Jacob Peter Hödl;Austria;43;31/01/2007
Interior derecho;Stefan Hierländer ;Austria;25;03/02/1991
Mediocentro ofensivo;Otar Kiteishvili;Georgia;10;26/03/1996
Mediocentro ofensivo;Filip Rózga;Polonia;8;07/08/2006
Mediocentro ofensivo;Gizo Mamageishvili ;Georgia;15;15/01/2003
Delantero centro;Leon Grgic ;Croacia;38;22/01/2006
Delantero centro;Axel Kayombo;Francia;11;25/02/2006
Delantero centro;Maurice Malone;Alemania;77;17/08/2000
Delantero centro;Seedy Jatta;Noruega;20;18/03/2003
Delantero centro;Belmin Beganovic;Austria;26;09/09/2004
Delantero centro;Rory Wilson;Escocia;9;05/01/2006
