pos;name;pais;num;edad
Portero;Dominik Takac;Eslovaquia;71;12/01/1999
Portero;Martin Trnovsky;Eslovaquia;31;07/06/2000
Portero;Matus Macik;Eslovaquia;44;19/05/1993
Defensa central;Svetozar Markovic;Serbia;15;23/03/2000
Defensa central;Kenan Bajric;Eslovenia;12;20/12/1994
Defensa central;Kevin Wimmer;Austria;6;15/11/1992
Defensa central;Sidoine Fogning;Camerún;19;14/11/2001
Defensa central;Guram Kashia;Georgia;4;04/07/1987
Lateral izquierdo;Sandro Cruz;Angola;57;12/05/2001
Lateral izquierdo;Sharani Zuberu;Ghana;23;07/01/2000
Lateral derecho;César Blackman;Panamá;28;02/04/1998
Pivote;Peter Pokorný;Eslovaquia;3;08/08/2001
Mediocentro;Rahim Ibrahim;Ghana;5;10/06/2001
Mediocentro;Danylo Ignatenko;Ucrania;77;13/03/1997
Mediocentro;Daiki Matsuoka;Japón;41;01/06/2001
Mediocentro;Maxim Mateas;Eslovaquia;16;12/05/2008
Mediocentro ofensivo;Niko Jankovic;Croacia;10;25/08/2001
Mediocentro ofensivo;Artur Gajdos;Eslovaquia;8;20/01/2004
Extremo izquierdo;Nino Marcelli;Eslovaquia;18;29/05/2005
Extremo izquierdo;Alasana Yirajang;Gambia;14;12/11/2004
Extremo izquierdo;Robert Mak;Eslovaquia;21;08/03/1991
Extremo izquierdo;Vladimír Weiss ;Eslovaquia;7;30/11/1989
Extremo derecho;Tigran Barseghyan;Armenia;11;22/09/1993
Delantero centro;Mykola Kukharevych;Ucrania;9;01/07/2001
Delantero centro;Andraz Sporar;Eslovenia;99;27/02/1994
Delantero centro;Adam Griger;Eslovaquia;30;16/03/2004
