pos;name;pais;num;edad
Portero;Tomas Koubek;República Checa;40;26/08/1992
Portero;Ivan Krajcirik;Eslovaquia;1;15/06/2000
Portero;Dominik Kudelcik ;Eslovaquia;-;16/11/2004
Portero;Lukas Pesl;República Checa;33;12/04/2002
Defensa central;Ange N'Guessan;Francia;16;01/09/2003
Defensa central;Simon Gabriel;República Checa;32;28/05/2001
Defensa central;Jan Knapik ;República Checa;22;11/12/2000
Defensa central;Haris Berbic;Bosnia y Herzegovina;23;12/04/2006
Defensa central;Augustin Drakpe;Togo;14;08/12/2001
Defensa central;Jan Mikula;República Checa;3;05/01/1992
Defensa central;Martin Ryzek;Eslovaquia;4;23/05/2005
Lateral izquierdo;Aziz Kayondo;Uganda;27;06/10/2002
Lateral derecho;Petr Hodous;República Checa;5;19/12/2003
Lateral derecho;Josef Kozeluh;República Checa;18;15/02/2002
Pivote;Marek Icha;República Checa;8;14/03/2002
Mediocentro;Vojtech Stransky;República Checa;12;13/03/2003
Mediocentro;Toumani Diakite;Costa de Marfil;30;19/01/2006
Mediocentro;Qëndrim Zyba ;Kosovo;10;03/02/2001
Interior derecho;Patrik Dulay;Eslovaquia;24;03/03/2005
Interior derecho;Lukas Masopust;República Checa;26;12/02/1993
Interior izquierdo;Vojtech Sychra;República Checa;28;30/11/2001
Mediocentro ofensivo;Ermin Mahmic;Austria;20;14/03/2005
Mediocentro ofensivo;Milan Lexa;República Checa;15;21/08/2004
Extremo izquierdo;Afolabi Soliu;Nigeria;7;08/08/2005
Extremo derecho;Petr Julis;República Checa;17;17/04/2003
Delantero centro;Lukas Masek;República Checa;9;08/05/2004
Delantero centro;Raimonds Krollis;Letonia;99;28/10/2001
Delantero centro;Daniel Rus;República Checa;29;02/02/2006
Delantero centro;Filip Spatenka;República Checa;11;22/02/2004
Delantero centro;Lukas Letenay;Eslovaquia;21;19/04/2001
