pos;name;pais;num;edad
Portero;Jonas Krumrey;Alemania;21;25/11/2003
Portero;Timon Weiner;Alemania;1;18/01/1999
Portero;Lio Rothenhagen;Alemania;41;31/08/2006
Portero;Marcel Engelhardt;Alemania;31;05/04/1993
Portero;Tyler Doğan;Turquía;42;18/11/2005
Defensa central;David Zec;Eslovenia;26;05/01/2000
Defensa central;Marko Ivezic;Serbia;6;02/12/2001
Defensa central;Frederik Roslyng;Dinamarca;2;25/12/2005
Defensa central;Ivan Nekic;Croacia;13;24/12/2000
Defensa central;Marco Komenda;Alemania;3;26/11/1996
Defensa central;Carl Johansson ;Suecia;5;23/05/1994
Defensa central;Patrick Erras ;Alemania;4;21/01/1995
Lateral izquierdo;John Tolkin;Estados Unidos;47;31/07/2002
Lateral izquierdo;Leon Parduzi;Kosovo;40;10/12/2006
Lateral derecho;Lasse Rosenboom;Alemania;23;19/01/2002
Pivote;Kasper Davidsen;Dinamarca;15;25/01/2005
Pivote;Jonas Meffert;Alemania;28;04/09/1994
Mediocentro;Umut Tohumcu;Alemania;8;11/08/2004
Mediocentro;Stefan Schwab;Austria;22;27/09/1990
Mediocentro;Hamza Muqaj ;Kosovo;48;03/10/2005
Interior derecho;Niklas Niehoff;Alemania;29;20/08/2004
Mediocentro ofensivo;Jonas Therkelsen;Noruega;10;05/05/2003
Extremo izquierdo;Andu Kelati ;Alemania;16;13/08/2002
Extremo derecho;Alexander Bernhardsson;Suecia;11;08/09/1998
Extremo derecho;Adrián Kaprálik;Eslovaquia;20;10/06/2002
Delantero centro;Phil Harres;Alemania;19;25/03/2002
Delantero centro;Steven Skrzybski ;Alemania;7;18/11/1992
Delantero centro;Marcus Müller;Alemania;25;20/08/2002
Delantero centro;Aldin Jakupovic;Eslovenia;18;04/06/2006
