pos;name;pais;num;edad
Portero;Timo Horn;Alemania;1;12/05/1993
Portero;Niclas Thiede;Alemania;22;14/04/1999
Portero;Hugo Rölleke;Alemania;38;06/05/2005
Defensa central;Erhan Masovic;Serbia;4;22/11/1998
Defensa central;Philipp Strompf;Alemania;3;23/04/1998
Defensa central;Noah Loosli;Suiza;20;23/01/1997
Defensa central;Kevin Vogt;Alemania;7;23/09/1991
Defensa central;Daniel Hülsenbusch;Alemania;25;18/01/2005
Lateral izquierdo;Maximilian Wittek;Alemania;32;21/08/1995
Lateral izquierdo;Mikkel Rakneberg;Noruega;18;28/02/2002
Lateral izquierdo;Darnell Keumo;Alemania;30;01/10/2007
Lateral derecho;Leandro Morgalla;Alemania;39;13/09/2004
Lateral derecho;Oliver Olsen;Dinamarca;13;13/08/2000
Lateral derecho;Kacper Koscierski;Alemania;35;23/06/2007
Pivote;Cajetan Lenz;Alemania;34;16/06/2006
Pivote;Marcel Sobottka ;Alemania;31;25/04/1994
Mediocentro;Kjell Wätjen;Alemania;8;16/02/2006
Mediocentro;Mats Pannewig;Alemania;24;28/10/2004
Mediocentro;Matus Bero ;Eslovaquia;19;06/09/1995
Mediocentro;Moritz Göttlicher ;Alemania;-;21/04/2008
Interior derecho;Koji Miyoshi;Japón;23;26/03/1997
Interior izquierdo;Romario Rösch ;Alemania;26;01/07/1999
Mediocentro ofensivo;Francis Onyeka;Alemania;21;29/04/2007
Mediocentro ofensivo;Moritz-Broni Kwarteng;Alemania;11;28/04/1998
Extremo izquierdo;Gerrit Holtmann ;Filipinas;17;25/03/1995
Extremo derecho;Farid Alfa-Ruprecht;Alemania;29;28/03/2006
Delantero centro;Callum Marshall;Irlanda del Norte;16;28/11/2004
Delantero centro;Ibrahim Sissoko;Malí;9;27/11/1995
Delantero centro;Philipp Hofmann;Alemania;33;30/03/1993
