pos;name;pais;num;edad
Portero;Florian Wiegele;Austria;44;21/03/2001
Portero;Viktor Baier ;República Checa;-;16/01/2005
Portero;Dominik Tapaj;Eslovaquia;1;10/05/2004
Portero;Marian Tvrdon;Eslovaquia;13;18/08/1994
Portero;Matyas Silhavy;República Checa;15;06/03/2007
Defensa central;Sampson Dweh;Liberia;40;10/10/2001
Defensa central;Karel Spacil;República Checa;5;18/05/2003
Defensa central;Jan Paluska ;República Checa;22;23/06/2005
Defensa central;Vaclav Jemelka;República Checa;21;23/06/1995
Defensa central;David Krcik;Eslovaquia;37;28/06/1999
Defensa central;Vaclav Mika ;República Checa;-;01/06/2000
Lateral izquierdo;Merchas Doski;Irak;14;07/12/1999
Lateral derecho;Adam Kadlec;República Checa;16;06/07/2003
Mediocentro;Lukas Cerv;República Checa;6;10/04/2001
Mediocentro;Patrik Hrosovsky;Eslovaquia;17;22/04/1992
Mediocentro;Jiri Panos;República Checa;20;15/11/2007
Mediocentro;Matej Valenta;República Checa;32;09/02/2000
Mediocentro;Alexandr Sojka;República Checa;12;02/04/2003
Interior derecho;Amar Memić;Bosnia y Herzegovina;99;20/01/2001
Interior izquierdo;Cheick Souaré;Francia;19;03/09/2002
Mediocentro ofensivo;Tom Sloncik;República Checa;29;21/12/2004
Mediocentro ofensivo;Denis Visinsky;República Checa;9;21/03/2003
Mediocentro ofensivo;Tomas Ladra;República Checa;18;24/04/1997
Delantero centro;Prince Adu;Ghana;80;23/09/2003
Delantero centro;Salim Fago Lawal;Nigeria;70;15/01/2003
Delantero centro;Daniel Vasulin;República Checa;51;11/06/1998
Delantero centro;Matej Vydra;República Checa;11;01/05/1992
Delantero centro;Mohamed Toure;Guinea;10;03/11/2005
