pos;name;pais;num;edad
Portero;Oleksandr Saputin;Ucrania;1;13/11/2003
Portero;Mykyta Turbayevskyi;Ucrania;12;12/03/2002
Portero;Valeriy Kosivskyi;Ucrania;31;04/08/2005
Defensa central;Jordan;Brasil;55;22/04/1999
Defensa central;Andrija Janjic;Bosnia y Herzegovina;5;20/05/2002
Defensa central;Gabriel Eskinja;Austria;4;29/08/2003
Defensa central;Christopher Nwaeze;Nigeria;25;16/11/2002
Lateral izquierdo;Juninho;Brasil;10;26/12/1995
Lateral izquierdo;Roman Vantukh;Ucrania;47;04/07/1998
Lateral derecho;Igor Perduta;Ucrania;44;15/11/1990
Pivote;Dejan Popara;Bosnia y Herzegovina;6;10/03/2003
Pivote;Jakov Basic;Croacia;21;25/11/1996
Pivote;Bogdan Kushnirenko;Ucrania;77;02/11/1995
Pivote;Navin Malysh;Ucrania;23;27/07/2003
Mediocentro;Kyrylo Dryshlyuk;Ucrania;8;16/09/1999
Mediocentro;Ruan Oliveira;Brasil;36;23/03/2000
Mediocentro;Roman Salenko;Ucrania;19;18/05/2005
Mediocentro ofensivo;Petar Micin;Serbia;22;29/09/1998
Mediocentro ofensivo;Nemanja Andjusic;Bosnia y Herzegovina;7;17/10/1996
Mediocentro ofensivo;Ivan Golovkin;Ucrania;24;24/05/2000
Mediocentro ofensivo;Sallieu Bah;Sierra Leona;88;10/09/2006
Extremo izquierdo;Domagoj Jelavic;Croacia;27;27/09/2001
Extremo izquierdo;Vladyslav Vakula;Ucrania;99;29/04/1999
Extremo derecho;Artem Slesar;Ucrania;9;12/12/2004
Delantero centro;Igor Gorbach;Ucrania;11;27/05/2004
Delantero centro;Pylyp Budkivskyi ;Ucrania;28;10/03/1992
Delantero centro;Reynaldiño Verley;Panamá;70;19/09/2002
Delantero centro;Fedir Zadorozhnyi;Ucrania;17;16/11/2006
